16076,0,0,178,,,,L2R,N/A,N/A,192.168.5.122,udp_ip,5353,224.0.0.251,5353,2010-06-13T23:57:19,2010-06-14T00:11:23,Normal
384,0,0,6,,,,L2R,FA,,192.168.2.111,tcp_ip,4435,206.217.198.186,80,2010-06-13T23:58:23,2010-06-14T00:01:24,Normal
171,642,4,2,,,,L2L,N/A,N/A,192.168.4.119,udp_ip,4428,192.168.5.122,53,2010-06-13T23:58:31,2010-06-13T23:59:25,Normal
384,0,0,6,,,,L2R,FA,,192.168.4.119,tcp_ip,3639,219.94.203.105,80,2010-06-13T23:58:31,2010-06-14T00:00:58,Normal
186,128,2,2,,,,L2R,FPA,R,192.168.4.119,tcp_ip,3641,98.137.80.50,80,2010-06-13T23:58:31,2010-06-13T23:59:26,Normal
331,1476,2,4,,,,L2R,FPA,FPA,192.168.4.119,tcp_ip,3642,142.166.14.86,80,2010-06-13T23:58:32,2010-06-14T00:01:07,Normal
64,0,0,1,,,,L2R,R,,192.168.2.109,tcp_ip,1523,59.106.19.74,80,2010-06-13T23:58:32,2010-06-13T23:59:58,Normal
128,128,2,2,,,,L2R,FA,FA,192.168.4.121,tcp_ip,52031,209.87.178.183,443,2010-06-13T23:58:35,2010-06-14T00:00:15,Normal
128,128,2,2,,,,L2R,FA,FA,192.168.4.121,tcp_ip,52032,208.89.13.133,80,2010-06-13T23:58:36,2010-06-14T00:00:16,Normal
0,465,3,0,,,,R2R,N/A,N/A,0.0.0.0,udp_ip,546,0.0.0.0,547,2010-06-13T23:58:51,2010-06-13T23:59:54,Normal
256,0,0,4,,,,L2R,FA,,192.168.2.111,tcp_ip,4431,69.163.132.48,80,2010-06-13T23:58:53,2010-06-14T00:00:10,Normal
128,0,0,2,,,,L2R,FA,,192.168.2.111,tcp_ip,4429,69.163.132.48,80,2010-06-13T23:58:53,2010-06-13T23:59:09,Normal
